name,price
【2 years local warranty】ASUS factory new 2022 Brand New Laptops 15.6 Inch Intel J4125 Laptop 12GB RAM 512GB SSD Slim Business Notebook Computer Backlit Key Netbook Fingerprint Ultrabook PC Windows10/11 With Fingerprint Backlit BT4.0 5G-WiFi,"₱24,999.00"
HP 682 INK Cartridge (Tri-color/Black),₱500.00
"[Sale Limited] Dell 13.3"" 2-in-1 FHD Touchscreen Intel Core i7 256GB NVME SSD 8GB RAM Licensed Windows 11 PRO OS and  MS OFFICE Pro Plus, Photo Editor, Etc read details (100% Customer's Feedback) LIMITED ITEM READ Description pls","₱25,899.00"
"【LOWEST PRICE LAPTOP SALE】HP ELITEBOOK 840 G5 NOTEBOOK LAPTOP | Intel Core i5-8350u 1.70Ghz, 16GB DDR4, 256GB SSD, Intel UHD Graphics 620, 14"" Inch FHD IPS LED Display | We also have Desktop, pc set, computer set, cheapest laptop, CPU | TTREND WAREHOUSE","₱24,939.00"
KUU Notebook 14.1 FHD Screen Intel Celeron J4105 8GB RAM 256GB SSD Ultra HD Graphics 600 Windows 11 Student Laptops with WiFi Bluetooth,"₱14,999.00"
【Philippine local delivery】Lenovo Factory store 2022 new 11th gen CPU intel J4125 RAM 8GB/12GB 128GB/256GB/512GB SSD loptop sale lowest price for student original brand new Preinstalled with Windows 10 and MS Office,"₱14,999.00"
STAAD Pro CONNECT (DVD PC Installer),₱399.00
Apple MacBook Air M2 Chip 8-Core CPU 8-Core GPU 8GB 256GB,"₱69,990.00"
"【LAPTOP Sale】HP ELITEBOOK 830 G5 NOTEBOOK LAPTOP | Intel Core i5-8350u 1.70Ghz, 16GB DDR4, 256GB SSD, Intel UHD Graphics 620 On Board, 13.3"" Inch IPS LED Display | We also have Desktop, pc set, computer set, cheapest laptop, CPU | TTREND","₱21,999.00"
"【SALE LAPTOP】HP ELITEBOOK 840 G5 NOTEBOOK LAPTOP | Intel Core i5-8350u 1.70Ghz, 16GB DDR4, 256GB SSD, Intel UHD Graphics 620 On Board, 14"" Inch FHD IPS LED Display | We also have Desktop, pc set, computer set, cheapest laptop, CPU | PC SOURCE","₱24,949.00"
CorelDraw Graphic Suite X7 ( Win64bit PC Installer),₱399.00
💻 Laptop Lenovo T450 I5 5th Gen 5300U 2.3ghz 4gb 500gb (5th Generation),"₱11,299.00"
Lenovo laptop [1 Year Warranty][Brand New]ThinkPad X240 Intel Quad/Dual-Core i7/i5-4600u/4200u 8GB RAM 128G  SSD+1T/500GB HDD ROM Built-in HD WEBCAM/Camera Windows 10 Pro OS Microsoft office WiFi Bluetooth Online learning Portable business notebook,"₱18,880.00"
"LAPTOP / FUJITSU / INTEL CORE i5 / 3RD GEN / 4GB OR 8GB RAM OPTIONS / STORAGE OPTIONS / FREE BAG/POUCH, WEBCAM, MOUSE, EXTENDED MOUSEPAD / WIFI READY / CHARGER INCLUDED / USED","₱7,350.00"
Lenovo Thinkpad Laptop X260 I5 6200U Quad-core built in Inel HD520 Graphics with 4G 8g 16g DDR3 RAM and 120G 240G 480G ssd For Online Game and Bussiness work Study,"₱17,699.00"
[Philippines stock] New original for laptop office use Intel Laptop 15.6 inch N5095 16GB RAM 512GB SSD Business Netbook Windows 10/11 Pro Gaming Notebook Gamer PC Fingerprint Unlock Free Legion 5 computer bag,"₱22,769.01"
DELL Laptop E5470 Intel Quad-core i5 6200U With 4G/8G/16G DDR4 MEMORY Built-in Intel HD Graphics 520 Hard disk 60G 120G 240G 480G 512G SSD fast for Office Gaming Study,"₱17,099.00"
"Dell Inspiron 3511 15.6"" i7-1165G7 8GB 512GB SSD MX350 2GB Win10 Laptop (Silver)","₱58,895.00"
【2 Year Warranty】【Free Gifts】Lennovo factory LEGION Student Online Class Laptop 15.6 Inch FHD IPS Screen 11th gen CPU Intel Celeron J4125/Core i5 8G RAM 128G SSD ROM  Full-size Keyboard Windows 10 Ultra-thin Portable Computer,"₱18,809.01"
"Dell E6420 Laptop Intel i5 2nd Gen processor 4GB/8GB/16GB RAM  120GB/240GB/480GB SSD Storage 14.1"" Display Good for Home Office Business w/Free gifts","₱15,599.00"
CorelDRAW Graphics Suite X3 [PC DVD Installer],₱399.00
"【LAPTOP Lowest Price】HP ELITEBOOK 840 G5 NOTEBOOK LAPTOP | Intel Core i5-8350u 1.70Ghz, 16GB DDR4, 256GB SSD, Intel UHD Graphics 620 On Board, 14"" Inch FHD IPS LED Display | We also have Desktop, pc set, computer set, cheapest laptop, CPU | GILMORE MALL","₱24,942.00"
[ASUS Factory]2022 new Monsprin Intel 11th Gen Slim Laptop 15.6 inch Screen Intel Celeron J4125/Core i7 8GB/12GB RAM 128GB/256GB/512GB SSD Business Netbook Windows 10 Gaming Notebook Computer Office / Design / Gaming-Run Smoothly,"₱29,699.01"
Asus Vivobook 17” Laptop - Intel Core 10th Gen i5 4-Core 12GB RAM + 1TB HDD Silver Win 11 [X712J],"₱36,995.00"
HUAWEI MateBook D 15 2021 Laptop | Intel® Core™i5-1135G7 | 8GB +256GB / 8GB+512GB / 16GB+512GB | Eye Comfort HUAWEI FullView Display | Super Device | Fingerprint Power Button,"₱42,999.00"
"【SALE LAPTOP】HP ELITEBOOK 840 G5 NOTEBOOK LAPTOP | Intel Core i5-8350u 1.70Ghz, 16GB DDR4, 256GB SSD, Intel UHD Graphics 620 On Board, 14"" Inch FHD IPS LED Display | We also have Desktop, pc set, computer set, cheapest laptop, CPU | TGEARS","₱24,945.00"
ASUS Factory Product Brand New ROG Laptop 11th gen CPU intel J4125 ram 8GB 256GB SSD Factory direct supply 15.6-inch quad-core office student computer fingerprint unlock thin and light game book Genuine Windows 10 and MS Office Local Warranty Guarantee,"₱17,819.01"
Lenovo ThinkPad Laptop T420 T430 L430 i5 2520m/3210M dual-core 4G 8G 16G DDR3 1600MHZ Memory 120g 240g 480g SSD for Online learning Office Work  Popular Games REFURBISHED,"₱13,609.00"
Dell Laptop PC E7470 Brand New Laptop Original Intel core i3/i5/i7 6th Gen 32G 512G SSD 14.1 inch HD screen lightweight High End Laptop Portable Laptop Sale Brand New Original Authentic Online Learning gaming Windows 10 Ultra-thin Portable Computer PC,"₱17,800.00"
"LAPTOP / NEC INTEL CORE i5 - 4TH GEN / 4GB OR 8GB RAM OPTION / STORAGE OPTIONS (HDD OR SSD) / FREE BAG/POUCH, WEBCAM , MOUSE , EXTENDED MOUSEPAD / WIFI READY / CHARGER INCLUDED / USED","₱7,440.00"
Brand New Original Cheap Oem i7/11th gen cpu intel J4125 laptop 15.6 Inch RAM 8GB/12GB SSD 128GB/256GB/512GB Laptops Win10 Netbook Computer Free gift ASUS ROG Mouse and office[1 Year Warranty] suitable for students murah,"₱19,799.01"
"Acer Aspire 3 A315-58-55A6 15.6"" FHD, Core i5-1135G7, 8GB, 512GB SSD, Win11, FREE MS OFFICE LIFETIME (PC CENTRAL)","₱38,609.00"
HP Elitebook 820 G1 [Brand New] legit Laptop Intel Quad/Dual-Core i7/i5 8G/12G/16G RAM 128G SSD+500G/1T HDD 12.5 Inches Screen Built In Camera/Webcam Business Work at home Windows11 Pro Ms office 365 Online Class Learning Computer WiFi/Bluetooth/Notebook,"₱19,880.00"
CPU SET / READY TO USE / INTEL CORE i3 2ND/3RD GEN / 4GB RAM / 250GB HDD / INTEL HD GRAPICS / WIFI AND WINDOWS READY/ GOOD FOR ONLINE AND WORK,"₱3,499.00"
Laptop pouch black w/zipper /14.6 InchLaptop Pouch 14/15.6 inch Zipper Soft Sleeve bag,₱95.00
"Laptop  Lowest Price Sale CLASS B ( Toshiba R632H Intel Core i5 3rd gen 4gb Ram, 120gb Ssd ) Intel Hd Graphics Good for Online Class and Good For Work From Home Charger Included(ISSUe:  white spot and faded color","₱9,000.00"
"[Sale] Dell Ultrabook Intel Core i7 Vpro 8GB/16GB RAM (14 inch, 12.5 inch~256G/512GB SSD), Windows 10/11 OS, MS Office Pro + , Photo Shop, ETC Limited  Stock read details...","₱27,199.00"
[1 Year Warranty][Brand New]Lenovo ThinkPad T450s Laptop Intel Dual/Quad-Core i5/i7 8G/12G RAM 128G SSD+500GB/1T HDD ROM 14-inch Screen Built-in WEBCAM/Camera Ms office Windows 10 Pro Operating system WiFi Bluetooth Portable business notebook,"₱21,880.00"
[Philippines stock] Free Asus Gaming Mouse New original for laptop office use 15.6-inch 11th gen CPU intel N5095/Core i7 16GB RAM 512GB SSD ROM with full-size keyboard 1920*1080 screen laptop window 10 suitable for students murah,"₱26,729.01"
Apple MacBook Air 13-inch M1 Chip  with 8‑Core CPU and 7‑Core GPU 256 GB Storage,"₱57,890.00"
"2022 brand new cheap laptop 15.6Inch FHD IPS 11th gen CPU intel J4125/i7-4500U 8GB/12GB RAM 1T/512/256/128GB SSD Windows10/11 Gaming Laptop With Fingerprint Backlit BT4.0 Dual WiFi Free ASUS Mouse with Order One-year local warranty, same-day delivery","₱23,759.01"
[Brand New] HP Elite X2 1012 G1 laptop 2-in-1 Tablet computer Intel Core M M5/M7 6Y54/6y75 4G/8G RAM 256G/512G/1T SSD FHD UWVA eDP IPS 1920×1080 12.3' touch screen 1080P Built-in camera Windows11 Pro Ms office 365 surface Online Class Business,"₱30,880.00"
